crop,year,Governorates,variety,land_type,Area_ha,Yield_tonha,Prod_ton
Irrigated wheat,2013,Aswan,Giza 168,Tota,12733.98,6.640366955186046,84558.3
Irrigated wheat,2013,Aswan,Gemmeza 11,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Gemmeza 11,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Gemmeza 11,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Beni Suef 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Beni Suef 5,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Beni Suef 5,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Sakha 95,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Sakha 95,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Sakha 95,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Masr 2,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Masr 2,New Land,420,3.928571428571429,1650
Irrigated wheat,2013,Aswan,Masr 2,Tota,420,3.928571428571429,1650
Irrigated wheat,2013,Aswan,Sakha 93,Old Land,299.88,6.885754301720688,2064.9
Irrigated wheat,2013,Aswan,Sakha 93,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Sakha 93,Tota,299.88,6.885754301720688,2064.9
Irrigated wheat,2013,Aswan,Sakha 94,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Sakha 94,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Sakha 94,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Gemmeza 9,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Gemmeza 9,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Gemmeza 9,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Giza 171,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Giza 171,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Giza 171,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Beni Suef 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Beni Suef 1,New Land,73.5,3.2142857142857144,236.25
Irrigated wheat,2013,Aswan,Beni Suef 1,Tota,73.5,3.2142857142857144,236.25
Irrigated wheat,2013,Aswan,Shandaweel,Old Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Shandaweel,New Land,NA,NA,NA
